Area,Unnamed: 0,segment_id,class,connector_id,at,nodeid,linksequenceId,position,distance_to_segment
Moss,13078,88984010-516a-459c-8358-5bfa01efbbc2,residential,d7b96f70-af2b-4d21-8da8-b46a981b495f,1.0,974189,947340,0.73303984,1.451373784733664
Moss,2009,889990dd-4aa8-49f5-b95f-9c24ab4f5dca,residential,c1097c4e-c144-4093-99b1-86bec19c9650,0.0,975108,950187,0.0,0.005356394391806742
Moss,2010,889990dd-4aa8-49f5-b95f-9c24ab4f5dca,residential,62daa74a-412d-44a0-99c2-4e5fa6175359,1.0,1581590,950187,1.0,0.004565411748478352
Moss,3758,889e7420-0fa5-4ac9-85ca-9f78a818e1d8,residential,dcd70727-0c26-4939-a159-d18719a76b6f,0.0,974555,942897,0.55587195,1.637107570667595
Moss,3759,889e7420-0fa5-4ac9-85ca-9f78a818e1d8,residential,47e13960-3637-4d48-88b8-3150730f1d3e,1.0,3141684,942897,0.1807818,1.528323637782459
Moss,13208,88a85762-2208-4b9a-8456-bd748a057e4b,residential,1cc75c16-0063-4f61-9bea-03678648a68c,0.0,974515,968189,0.0,0.004148996048905622
Moss,13209,88a85762-2208-4b9a-8456-bd748a057e4b,residential,d287e04c-4668-4b66-b194-ab437939586d,1.0,1596279,968189,1.0,0.002249588260673138
Moss,3888,88ac40d0-e35e-49fe-b2c9-567fbd67a5b9,residential,6e1e3172-272a-4a07-bcec-c1f56a642f7e,0.0,974960,947259,0.35401496,0.002894046142739946
Moss,3889,88ac40d0-e35e-49fe-b2c9-567fbd67a5b9,residential,82661262-11ac-4d6b-8c02-7e01dad72ce4,1.0,975004,947259,0.49029179,0.002814277977559936
Moss,2242,88c952ed-7f41-499e-96a5-81c80759d862,residential,92840782-65b5-4158-a1ea-90adcf2f1e29,0.0,974737,942818,0.4119363,2.984926763803106
Moss,2243,88c952ed-7f41-499e-96a5-81c80759d862,residential,51d5dbff-bc52-4053-b8ac-399811d81ae3,0.030115957,2444220,942818,0.99137148,2.67869103806169
Moss,2244,88c952ed-7f41-499e-96a5-81c80759d862,residential,92e0c893-d70b-4e58-b82c-323d9c8a2bf5,0.83996851,974686,942818,0.72498603,0.7822571307342335
Moss,2245,88c952ed-7f41-499e-96a5-81c80759d862,residential,006758e5-ef65-4dd2-865b-a784dbbd7be1,1.0,974656,942818,0.67081281,2.780352093962339
Moss,11363,88ecfd2d-54b5-4e6f-877f-49ebf38b4dbc,residential,b221e75e-b096-4acd-b22f-9c0187662746,0.0,3385174,403837,0.0,1.179073597612825
Moss,11364,88ecfd2d-54b5-4e6f-877f-49ebf38b4dbc,residential,,0.5811980801413499,3970709,403837,0.17150207,0.01989520096064284
Moss,11365,88ecfd2d-54b5-4e6f-877f-49ebf38b4dbc,residential,25345ab0-2e65-4b61-8aef-0a2eb70b86df,0.64145535,2019927,403837,0.19134419,0.3279502024780851
Moss,11366,88ecfd2d-54b5-4e6f-877f-49ebf38b4dbc,residential,b89a44a1-fd14-456c-a9fa-516f521c65e1,0.661933269,460762,403837,0.21139281,4.467484468420674
Moss,11367,88ecfd2d-54b5-4e6f-877f-49ebf38b4dbc,residential,d67b234d-3c9d-4c17-bce2-ff9453735e4f,0.769425151,2423107,403837,0.23681797,0.4916453045485252
Moss,11368,88ecfd2d-54b5-4e6f-877f-49ebf38b4dbc,residential,,0.8310709996043132,460764,403837,0.25591123,0.219477944688828
Moss,11369,88ecfd2d-54b5-4e6f-877f-49ebf38b4dbc,residential,0874ed77-d1c4-46c7-979c-4d0c85a33610,1.0,460765,403837,0.30424273,1.582040101343912
Moss,1805,88f45076-ae39-43a1-ae92-42ea21fa729d,tertiary,593ed5b7-28ca-482e-bc56-b94fe822cf3d,0.0,974945,943082,0.05022098,3.049447103454176
Moss,1806,88f45076-ae39-43a1-ae92-42ea21fa729d,tertiary,1e9bf85e-5278-406b-819b-0260b4d64180,1.0,974955,943082,0.20465652,0.7629681293976837
Moss,3323,89022426-1e2d-4606-b7ca-7098370249a6,residential,90e0fbdf-fd40-41ad-9bf2-c5ef04bfdda3,0.0,974605,947277,0.29726721,0.005208691287289803
Moss,3324,89022426-1e2d-4606-b7ca-7098370249a6,residential,088fbc74-6307-4669-ba34-61bfb91111fb,0.048824592,,947277,0.3287838677206787,0.07214995322269382
Moss,3325,89022426-1e2d-4606-b7ca-7098370249a6,residential,43eb6706-67f9-4bd9-89a8-573dbf39a47c,0.109085241,,947277,0.3676632369950934,0.03279862188882758
Moss,3326,89022426-1e2d-4606-b7ca-7098370249a6,residential,6aadc9f8-1246-4e30-b4ff-91b7151ec3cc,0.14009807,3084735,947277,0.39937558,4.548173983668907
Moss,3327,89022426-1e2d-4606-b7ca-7098370249a6,residential,9fe823b6-bc6d-41e3-9b93-acf732006ae1,0.262101147,,947277,0.4659938601439502,0.1691811540413005
Moss,3328,89022426-1e2d-4606-b7ca-7098370249a6,residential,9811819d-1b40-4b43-8885-bd8213508685,0.268053359,,947277,0.4698086101445775,0.2245233865381755
Moss,3329,89022426-1e2d-4606-b7ca-7098370249a6,residential,5d3a39fe-869d-49b8-b00a-a52af9962ef1,0.287941584,,947277,0.4825806220905147,0.3236137970002888
Moss,3330,89022426-1e2d-4606-b7ca-7098370249a6,residential,61814f3f-8508-45a5-9fa7-5a3af0bfbe74,0.499983303,,947277,0.6185222004176674,0.4249291218157523
Moss,3331,89022426-1e2d-4606-b7ca-7098370249a6,residential,fb013ba4-a799-4579-8c0f-a0b850bb5a19,0.525861445,,947277,0.6351006790990048,0.1217479174345109
Moss,3332,89022426-1e2d-4606-b7ca-7098370249a6,residential,,0.6325479315822355,3084736,947277,0.70358209,7.315079377299993e-05
Moss,3333,89022426-1e2d-4606-b7ca-7098370249a6,residential,ac5aa29c-c400-4672-a81c-bb8e053d5a1b,0.862543806,2266175,947277,0.85903211,3.068457288110964
Moss,3334,89022426-1e2d-4606-b7ca-7098370249a6,residential,028ce7d4-d235-4e23-ab02-b7cc16dc1181,0.874791989,,947277,0.8590351042863009,0.0002077576478465938
Moss,3335,89022426-1e2d-4606-b7ca-7098370249a6,residential,c06d28e1-9b58-4289-be88-50e050c8be5a,0.920799062,,947277,0.8887195277896115,0.2616042641998969
Moss,3336,89022426-1e2d-4606-b7ca-7098370249a6,residential,,0.9850956549107455,974614,947277,0.9302349,0.2545731319491137
Moss,3337,89022426-1e2d-4606-b7ca-7098370249a6,residential,f68e8d7e-c3bd-426b-9099-a03bef32a5e4,1.0,2639117,947277,0.95065507,4.518249234268504
Moss,11652,892acf24-53f4-4977-868b-2ae6e0fbe766,residential,419be110-6f1e-4a2a-b38c-98d165388218,0.0,461017,403805,0.55882734,0.4847855930452459
Moss,11653,892acf24-53f4-4977-868b-2ae6e0fbe766,residential,5c16b9de-667a-420f-b044-cf2d59fd0e7f,1.0,461041,403805,0.62407145,1.098385836207571
Moss,1739,8935b839-f2b5-473f-a069-dbdfe65463b6,residential,717c2ef2-b1b2-4091-86cc-a1ce023818b1,0.0,975070,943004,0.72202867,0.5023489812727309
Moss,1740,8935b839-f2b5-473f-a069-dbdfe65463b6,residential,8ac60d31-1f34-474d-a46f-328800167dc1,1.0,975116,943004,0.0,0.1418680022626772
Moss,3338,894fde57-6af9-4e69-9ada-d37598957a36,residential,0cb769ce-939c-429a-adb0-3b55afea8a99,0.0,974677,947422,0.06973814,0.9510944589726731
Moss,3339,894fde57-6af9-4e69-9ada-d37598957a36,residential,e614844a-a9bb-4349-8068-2e1aa297289c,1.0,974692,947422,0.30784027,0.002783662981101967
Moss,8163,895421a0-86ee-4573-b56e-37c67998ba35,residential,fccc0eb7-89c7-46ac-bb7d-43c05dc8105e,0.0,973384,942896,0.06042459,4.460511557939348
Moss,8164,895421a0-86ee-4573-b56e-37c67998ba35,residential,73ac02f3-c01b-4c4f-8099-83b8349622a0,0.861947916,3609978,942896,0.00807559,1.915991169749867
Moss,8165,895421a0-86ee-4573-b56e-37c67998ba35,residential,d737395e-08b4-4084-8f4d-502aa1e16d22,1.0,973392,942896,0.0,2.018055745424956
Moss,2260,895484e0-050e-4883-abfe-1e4b77f62fa6,residential,9eb760f6-fe47-4aea-bd51-1c1bd3b34227,0.0,1582676,942934,1.0,8.865023266547164
Moss,2261,895484e0-050e-4883-abfe-1e4b77f62fa6,residential,5f0ce314-132f-4e60-9319-ea5e39cd5457,1.0,974683,942934,0.0,1.583326805866666
Moss,8451,89578894-7e09-418d-989f-b4f0478d2516,residential,5a7333a5-b250-4d48-8b57-b7dc022a97db,0.0,973439,950304,0.0,3.710596694961272
Moss,8452,89578894-7e09-418d-989f-b4f0478d2516,residential,b7a1e186-8e95-46cf-b42e-a99dfec007e9,0.029789895,3545255,950304,0.46071994,0.0466351529569036
Moss,8453,89578894-7e09-418d-989f-b4f0478d2516,residential,,0.0823512896935867,1254359,950304,1.0,0.2641378567780148
Moss,8454,89578894-7e09-418d-989f-b4f0478d2516,residential,,0.0823512896935867,1254359,950604,0.0,0.0466351529569036
Moss,8455,89578894-7e09-418d-989f-b4f0478d2516,residential,,0.2308500581680791,1254360,950604,1.0,0.1254423315020056
Moss,8456,89578894-7e09-418d-989f-b4f0478d2516,residential,,0.2308500581680791,1254360,950545,0.0,0.0466351529569036
Moss,8457,89578894-7e09-418d-989f-b4f0478d2516,residential,,0.6480895007276021,1583707,950545,1.0,0.2024957365184381
Moss,8458,89578894-7e09-418d-989f-b4f0478d2516,residential,,0.6480895007276021,1583707,2337372,0.0,0.0466351529569036
Moss,8459,89578894-7e09-418d-989f-b4f0478d2516,residential,c9fba630-59b6-4299-b716-6a8bada90b1b,0.973534122,,2337372,0.8292738445937667,1.058013169236352
Moss,8460,89578894-7e09-418d-989f-b4f0478d2516,residential,c9fba630-59b6-4299-b716-6a8bada90b1b,0.973534122,,2337372,0.0,1.058013169236352
Moss,8461,89578894-7e09-418d-989f-b4f0478d2516,residential,90622f7a-645c-4fdb-85fc-e8e30984d909,1.0,,2337372,0.8976652408955392,0.7001049519687426
Moss,12958,8958e3cb-a303-4666-8dea-d66cb6022fee,residential,5e114d95-e083-4e1b-a29e-a5cd1f2b8b1a,0.0,973798,947240,0.0,0.7793879004884445
Moss,12959,8958e3cb-a303-4666-8dea-d66cb6022fee,residential,,0.136248120676952,3440636,947240,0.00466616,0.2500751726444359
Moss,12960,8958e3cb-a303-4666-8dea-d66cb6022fee,residential,9b582578-1c3a-4d88-ac99-f00ff425ecc3,0.251170692,2800486,947240,0.00913122,1.343242752638669
Moss,12961,8958e3cb-a303-4666-8dea-d66cb6022fee,residential,a7cc1b88-94b7-4a57-89f1-ee596ee31794,0.789381855,,947240,0.02588224945787281,0.3446829864757016
Moss,12962,8958e3cb-a303-4666-8dea-d66cb6022fee,residential,c0a81094-4493-485e-8ef1-e8f3852e693c,1.0,2265965,947240,0.0340749,1.886258412803598
Moss,5677,8981e42d-d5ae-421a-99b1-58db65a64de7,primary,590406d4-5a45-4cfa-aaa3-d4e330fe83be,0.0,974084,971542,0.78937559,2.523500188128757
Moss,5678,8981e42d-d5ae-421a-99b1-58db65a64de7,primary,,0.1605648845944456,974086,971542,0.83572837,2.541389466027626
Moss,5679,8981e42d-d5ae-421a-99b1-58db65a64de7,primary,,0.5274949410320505,974089,971542,0.90408722,2.579358628106656
Moss,5680,8981e42d-d5ae-421a-99b1-58db65a64de7,primary,,0.9602906616306369,974087,971542,0.0,1.89585825583016
Moss,5681,8981e42d-d5ae-421a-99b1-58db65a64de7,primary,751271cb-ef1b-476c-aa38-6ee2466b5edb,1.0,,971542,0.004536429367502819,2.032659211817788
Moss,10958,8988bdef-5ee6-4955-a4af-17b19e8f6eca,residential,ac8002a5-22af-480a-ad0d-a491fd2deb7e,0.0,459548,403787,0.0,0.007942547608689841
Moss,10959,8988bdef-5ee6-4955-a4af-17b19e8f6eca,residential,41992000-740a-4ebc-9bdf-085fd8bee197,1.0,459553,403787,0.08849558,0.05374650173746394
Moss,11644,899291be-eac8-4060-8bdc-e37d33e119f5,residential,655317ba-97b9-4b5f-812b-df7adc5b66ec,0.0,461024,403672,0.1230395,0.01709250341082211
Moss,11645,899291be-eac8-4060-8bdc-e37d33e119f5,residential,5831bcc6-a729-4982-85c4-dacb34967a14,0.082692947,2019929,403672,0.16304878,0.04803975623363989
Moss,11646,899291be-eac8-4060-8bdc-e37d33e119f5,residential,762ba4e1-c9af-4381-a1de-5eb730d2b4cc,0.384326863,461006,403672,0.31324507,0.01648707680469145
Moss,11647,899291be-eac8-4060-8bdc-e37d33e119f5,residential,bd3ea809-f313-4142-89ed-b8f872c4c9a5,0.669027831,461021,403672,0.44663351,0.0563256199896278
Moss,11648,899291be-eac8-4060-8bdc-e37d33e119f5,residential,fbfbdefc-7d3f-4e66-a421-ed603b100732,1.0,461045,403672,0.60702789,0.02279760539599614
Moss,8357,89959b07-4db8-4c85-a343-2b0df4dcaf05,residential,d880953c-e5fd-4dd0-b93b-27cab5cd0ae2,0.0,973361,942994,0.63094925,1.150262105978992
Moss,8358,89959b07-4db8-4c85-a343-2b0df4dcaf05,residential,,0.06905710485304967,3083960,942994,0.59070072,0.3429127661367358
Moss,8359,89959b07-4db8-4c85-a343-2b0df4dcaf05,residential,50304392-8607-4bc5-adac-b7320113428f,0.305542343,2507327,942994,0.43810423,0.7949099971708281
Moss,8360,89959b07-4db8-4c85-a343-2b0df4dcaf05,residential,894314a7-53a7-4986-9d9b-87360cb5931e,0.584107212,973376,942994,0.26304967,0.02679488187278579
Moss,8361,89959b07-4db8-4c85-a343-2b0df4dcaf05,residential,a576a87b-4ec3-448e-be2c-3ded60577591,1.0,973379,942994,0.0,0.5557270263278369
Moss,8991,89b4eb13-9fbd-44f0-9ad2-e41eda61b0b6,residential,1c57fac3-eb8a-4b27-a693-04758639686e,0.0,459003,403878,0.0,0.02994173742623251
Moss,8992,89b4eb13-9fbd-44f0-9ad2-e41eda61b0b6,residential,483a152c-4a3d-4129-bd3c-987063c884f5,1.0,458991,403878,0.46360696,0.02995844903973244
Moss,2473,89b52628-44f8-4c86-8cb4-25897ed71089,trunk,21c0db78-4d04-45e6-96a0-956280a7c851,0.0,975216,971394,0.48303691,4.729937247945062
Moss,2474,89b52628-44f8-4c86-8cb4-25897ed71089,trunk,fb10004b-8783-48e5-a918-dba90c50183c,1.0,975222,971394,0.63748949,3.732409314150013
Moss,11635,89c50fe9-1289-40ea-b76f-ed3719e92f79,residential,2e8be0c7-d2c9-41de-9782-36f8d430911c,0.0,461097,403805,0.93376706,0.03598501181797109
Moss,11636,89c50fe9-1289-40ea-b76f-ed3719e92f79,residential,1f066eb0-ff7e-43a1-8ffd-fd05f0cb24d1,1.0,461099,403805,1.0,0.03755284922719519
Moss,85,89ca7340-ecb4-4d91-aac6-303b599dd0f9,residential,7ca14ea7-32af-4f34-8045-bc5489581333,0.0,1800244,1899388,0.0,0.01411332761128953
Moss,86,89ca7340-ecb4-4d91-aac6-303b599dd0f9,residential,851234f2-b51f-4b78-b695-221426cc34e7,0.035697147,2038608,1899388,0.03480462,0.0291008532430742
Moss,87,89ca7340-ecb4-4d91-aac6-303b599dd0f9,residential,eb4ef908-ab0b-4bec-8f9a-9ac9a0bd0b9a,0.175948644,2038597,1899388,0.17499723,0.04243017165949105
Moss,88,89ca7340-ecb4-4d91-aac6-303b599dd0f9,residential,ad2a2e78-e862-433a-b7b9-f8ec741f7c18,0.33461218,2512866,1899388,0.33396192,0.01747813177298538
Moss,89,89ca7340-ecb4-4d91-aac6-303b599dd0f9,residential,8ae2d3f8-ba46-419d-b0ad-d4fbf02f6014,0.544722352,2512865,1899388,0.54462167,0.03705545581473737
Moss,90,89ca7340-ecb4-4d91-aac6-303b599dd0f9,residential,,0.6857378468841845,1899389,1899388,0.6856305,0.02266684907495722
Moss,91,89ca7340-ecb4-4d91-aac6-303b599dd0f9,residential,19b6a931-0bd6-4b8b-b87e-ddc2080bed1f,0.710093642,2038525,1899388,0.70987283,0.02294281774889482
Moss,92,89ca7340-ecb4-4d91-aac6-303b599dd0f9,residential,94412266-4fc0-4980-a205-7896d1d0a8b2,1.0,460294,1899388,1.0,0.03094997449105929
Moss,3028,89dc60e5-261d-498a-8ad1-7226ecc724a3,primary,ccbef99b-e5c0-4d66-983f-a27e25118d44,0.0,975109,971521,0.88107095,0.004604895677653082
Moss,3029,89dc60e5-261d-498a-8ad1-7226ecc724a3,primary,,0.1899044985586296,3088122,971521,0.90365079,0.003740667804903803
Moss,3030,89dc60e5-261d-498a-8ad1-7226ecc724a3,primary,541a2bd4-5170-46c0-aaf0-80b8027c364a,0.884333292,3088123,971521,0.9799888,4.886956545840172
Moss,3031,89dc60e5-261d-498a-8ad1-7226ecc724a3,primary,6ba350da-fbac-4ff5-986a-c5bb13719d6b,1.0,975165,971521,1.0,0.002673779125759043
Moss,8857,89f1460e-f4c6-4b75-934f-4387eb45c027,residential,892d75b8-0a02-4693-ab75-b1ab7c1f038e,0.0,458308,410022,0.0,0.01370402378788894
Moss,8858,89f1460e-f4c6-4b75-934f-4387eb45c027,residential,a818e6d7-c399-4e88-b7b8-dab532f9b19f,1.0,2039962,410022,0.46512897,0.03478537443767082
Moss,3639,89facbba-9695-470d-ba09-4adfb4a12a3a,residential,82efae9a-e7cf-4ed6-89bb-1665eed0b70a,0.0,2266043,2266045,0.0,0.005601292242998703
Moss,3640,89facbba-9695-470d-ba09-4adfb4a12a3a,residential,0bd23c54-f020-4efb-9fea-7ff049d4d4e5,1.0,,2266045,0.201641852632767,0.002561805371138945
Moss,4381,89fce086-a626-4c5a-bd13-da235a82f87b,primary,3a10638c-599e-45b9-82cd-2c610c947e6b,0.0,974200,972116,0.57734541,2.211532405329659
Moss,4382,89fce086-a626-4c5a-bd13-da235a82f87b,primary,,0.6091363900017019,2377004,972116,0.5563612,0.09070053071622161
Moss,4383,89fce086-a626-4c5a-bd13-da235a82f87b,primary,9d844307-6967-4eac-8f33-70c9b64fd758,1.0,974202,972116,0.53461263,0.1407012583869008
Moss,7881,89febf51-879b-4b5f-bc09-3d39cbbfad40,residential,e05c2416-c247-412b-8033-974f11ba096a,0.0,973315,942769,0.0,2.268647308535329
Moss,7882,89febf51-879b-4b5f-bc09-3d39cbbfad40,residential,22ad6822-bf94-4190-ac02-8ff0ec46fd3c,0.224355892,,942982,0.209272027136305,0.1379500780546591
Moss,7883,89febf51-879b-4b5f-bc09-3d39cbbfad40,residential,09a74088-7baf-4886-96d1-64455a3422fc,0.342164842,3140857,942982,0.32913014,0.04978226302266881
Moss,7884,89febf51-879b-4b5f-bc09-3d39cbbfad40,residential,,0.4487875423979887,3489341,942982,0.44746719,0.04442034204824216
Moss,7885,89febf51-879b-4b5f-bc09-3d39cbbfad40,residential,e7025f25-233a-4919-a402-e8547f021a82,0.48898169,3140858,942982,0.47877321,0.04151079556391906
Moss,7886,89febf51-879b-4b5f-bc09-3d39cbbfad40,residential,85c319c5-a9cb-415c-933d-d9878fa9a9e6,0.668185065,,942982,0.6623780899256093,0.000416459377930335
Moss,7887,89febf51-879b-4b5f-bc09-3d39cbbfad40,residential,3028d6bf-e143-4900-85f6-99e4f416c664,0.757575815,,942982,0.7537335415784688,0.1204874366508555
Moss,7888,89febf51-879b-4b5f-bc09-3d39cbbfad40,residential,c7b0db30-9f40-443c-b3e2-9f43ec35f682,0.871953499,3140859,942982,0.87053435,0.03607690962515725
Moss,7889,89febf51-879b-4b5f-bc09-3d39cbbfad40,residential,6227fd48-543c-490f-aa48-575181a1c500,0.937993864,,942982,0.9373176488465345,0.0001106354938503385
Moss,7890,89febf51-879b-4b5f-bc09-3d39cbbfad40,residential,379274c4-7986-4bfc-b146-e2b0ae33e2cc,1.0,973319,942982,1.0,1.364332181655604
Moss,6827,8a0875cf-8675-416e-ad30-17889176efad,residential,7d9809ab-3e6e-4c04-8937-4bc520bea03e,0.0,973464,950553,1.0,0.004806383786617067
Moss,6828,8a0875cf-8675-416e-ad30-17889176efad,residential,,0.09337085579133951,3489340,950553,0.69283738,0.000495764345801359
Moss,6829,8a0875cf-8675-416e-ad30-17889176efad,residential,418d17bb-b375-4b39-9577-990339ab353b,0.286277558,,950553,0.05801258734866099,0.8147527783282857
Moss,6830,8a0875cf-8675-416e-ad30-17889176efad,residential,11f8da62-57dd-4160-b4e7-f02c3182f706,0.304745971,973467,950553,0.0,1.582671635329636
Moss,6831,8a0875cf-8675-416e-ad30-17889176efad,residential,11f8da62-57dd-4160-b4e7-f02c3182f706,0.304745971,973467,943145,0.64188718,1.582671635329636
Moss,6832,8a0875cf-8675-416e-ad30-17889176efad,residential,d81cd72e-42a2-46e8-9b40-bfdbb7032535,0.452257414,3489343,943145,0.72061689,1.890032611765857
Moss,6833,8a0875cf-8675-416e-ad30-17889176efad,residential,24413b85-22cc-4232-8ccb-6d261086ce1a,0.56872564,,943145,0.7775536116262087,0.1265013808424589
Moss,6834,8a0875cf-8675-416e-ad30-17889176efad,residential,452df9e9-1fe3-41dc-9ac1-bfe434c9fb15,0.644039477,,943145,0.8163737528268222,0.1826195160220024
Moss,6835,8a0875cf-8675-416e-ad30-17889176efad,residential,dee5869c-a2ff-421a-aed1-01bd7e93025e,0.712420353,2292598,943145,0.85159236,0.0009848721968855954
Moss,6836,8a0875cf-8675-416e-ad30-17889176efad,residential,e46d112a-7d47-4e12-a9fd-6f0a68453867,0.970565726,,943145,0.9848070352005118,0.2506539327049968
